TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"timestamp_CF [UTC]","label_CF","country_CF","state_CF","sourcehost_CF","username_CF","destinationhost_CF","longitude_CF","latitude_CF",Type,"_ResourceId"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:17.49163,longitude:-88.18704,destinationhost:samplehost,username:Test,sourcehost:45.227.254.8,state:null,country:Belize,label:Belize - 45.227.254.8,timestamp:2021-10-26 13:13:25
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:-55.88802,longitude:37.65136,destinationhost:samplehost,username:Test,sourcehost:94.232.47.130,state:Central Federal District,country:Russia,label:Russia - 94.232.47.130,timestamp:2021-10-26 14:25:33
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:33.66921,longitude:-117.33055,destinationhost:honeypot-vm,username:andyadmin,sourcehost:47.157.170.250,state:California, country:United States,label:United States - 47.157.170.250,timestamp:2022-05-11 20:16:49
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Test,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:12:35
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Test,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:12:37
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:23
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:25
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:27
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:29
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
"d4369eff-08fa-4bd1-b22d-7b23a9164699",OpsManager,"6d53abc2-1a9a-e2af-f960-f94ae932cba9","AOI-d4369eff-08fa-4bd1-b22d-7b23a9164699","5/11/2022, 9:36:49.000 PM","honeypot-vm","latitude:55.87935,longitude:37.54717,destinationhost:honeypot-vm,username:Administrator,sourcehost:87.251.67.65,state:Central Federal District, country:Russia,label:Russia - 87.251.67.65,timestamp:2022-05-11 21:21:31
",,,,,,,,,,"FAILED_RDP_WITH_GEO_CL","/subscriptions/e440a5f7-02d9-4b56-b91c-fb4ad330aea8/resourcegroups/honeypotlab/providers/microsoft.compute/virtualmachines/honeypot-vm"
